,lr
548,1.4979936114758683e-09
549,1.439501296204796e-09
550,1.3831196980112843e-09
551,1.3292720204096101e-09
552,1.2783624471605541e-09
553,1.2307731084448782e-09
554,1.1868612125722418e-09
555,1.1469563647551123e-09
556,1.1113580930731118e-09
557,1.0803336001980461e-09
558,1.0541157577553048e-09
559,1.032901358376066e-09
560,1.016849638560504e-09
561,1.0060810834394732e-09
562,1.0006765224061966e-09
563,1.08828125e-09
564,1.220677225269618e-09
565,1.2200562394125417e-09
566,1.218611803949751e-09
567,1.2163547608967899e-09
568,1.2133020517484453e-09
569,1.2094765903149148e-09
570,1.2049070907294312e-09
571,1.1996278519183293e-09
572,1.193678500151334e-09
573,1.1871036916045055e-09
574,1.1799527771684154e-09
575,1.1722794320175286e-09
576,1.164141252721261e-09
577,1.1555993249208204e-09
578,1.1467177648168767e-09
579,1.137563237909676e-09
580,1.1282044586039674e-09
581,1.118711674434734e-09
582,1.1091561387851617e-09
583,1.099609576054651e-09
584,1.0901436432913579e-09
585,1.0808293923302716e-09
586,1.0717367364740639e-09
587,1.0629339257198216e-09
588,1.054487034470649e-09
589,1.0464594655774034e-09
590,1.0389114744332555e-09
591,1.0318997166932462e-09
592,1.0254768230136876e-09
593,1.0196910040034325e-09
594,1.0145856883522762e-09
595,1.0101991968527168e-09
596,1.0065644547618845e-09
597,1.003708744662672e-09
598,1.0016535016790997e-09
599,1.0004141525830437e-09
